"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan admin get test","Get all spartan","SUCCESS","2021-09-04T10:56:16.64-05:00[America/Chicago]","0.0","2.71"
"Spartan admin get test","Get one spartan","SUCCESS","2021-09-04T10:56:19.354-05:00[America/Chicago]","0.0","0.32"
